lokasi;lat;long;dikonfirmasi;sembuh;meninggal dunia
Aceh;4.695.135;96.749.397;7;4;1
Jakarta;-6.2;106.816.666;3260;286;298
West Java;-6.914.864;107.608.238;756;75;68
East Java;-7.250.445;112.768.845;603;101;58
Central Java;-6.966.667;110.416.664;449;51;44
South Sulawesi;-5.135.399;11.942.379;374;73;30
Banten;-6.12;106.150.276;341;17;35
Bali;-8.409.518;115.188.919;150;42;3
Papua;-2.598.744;140.673.179;118;28;6
South Kalimantan;-0.502106;117.153.709;98;9;6
West Nusa Tenggara;-8.584.671;116.104.951;93;11;4
South Sumatra;-2.990.934;104.756.554;89;5;3
North Sumatra;3.597.031;98.678.513;84;13;9
Riau Islands;1.045.626;104.030.457;81;8;8
North Kalimantan;2.775.165;11.743.276;77;2;1
West Sumatra;-0.929775;100.374.779;76;13;7
Special Region of Yogyakarta;-7.797.068;110.370.529;72;30;7
East Kalimantan;-1.265.386;1.168.312;68;11;1
Central Kalimantan;-221.056;113.905.098;67;9;4
South East Sulawesi;-3.972.201;1.225.149;37;4;2
Riau;0.506566;10.143.779;35;9;4
Central Sulawesi;-0.88362;11.988.347;27;3;3
Lampung;-4.928.829;105.014.872;27;10;5
West Kalimantan;0;109.333.336;27;7;3
North Sulawesi;147.483;124.842.079;20;5;3
Maluku;-3.654.703;128.190.643;17;10;0
Jambi;-1.609.972;103.607.254;13;1;0
Bangka Belitung Islands;-2.133.333;106.116.669;8;2;1
Bengkulu;-3.788.892;102.266.579;8;1;1
Gorontalo;0.699937;122.446.724;7;0;1
West Papua;-0.862703;13.406.248;7;0;1
West Sulawesi;-2.535.247;1.192.759;7;1;1
North Maluku;0.792285;127.375.882;4;2;0
East Nusa Tenggara;-10.178.757;123.597.603;1;0;0
